rank,movie,boxoffice,in_millions
100,"Twister (1996)",241688385,241.688385
101,"My Big Fat Greek Wedding (2002)",241437427,241.437427
102,"Maleficent (2014)",241407328,241.407328
103,"Pirates of the Caribbean: On Stranger Tides (2011)",241063875,241.063875
104,"Fast & Furious 6 (2013)",238673370,238.67337
105,"Shrek Forever After (2010)",238371987,238.371987
106,"Brave (2012)",237282182,237.282182
107,"Oz the Great and Powerful (2013)",234903076,234.903076
108,"Beverly Hills Cop (1984)",234760500,234.7605
109,"X-Men: The Last Stand (2006)",234360014,234.360014
110,"War of the Worlds (2005)",234277056,234.277056
111,"X-Men: Days of Future Past (2014)",233914986,233.914986
112,"Cast Away (2000)",233630478,233.630478
113,"The Lost World: Jurassic Park (1997)",229074524,229.074524
114,"Star Trek Into Darkness (2013)",228756232,228.756232
115,"Signs (2002)",227965690,227.96569
116,"Hancock (2008)",227946274,227.946274
117,"The Bourne Ultimatum (2007)",227225045,227.225045
118,"Rush Hour 2 (2001)",226138454,226.138454
119,"WALL·E (2008)",223806889,223.806889
120,"Big Hero 6 (2014)",222487711,222.487711
121,"National Treasure: Book of Secrets (2007)",219961501,219.961501
122,"Alvin and the Chipmunks: The Squeakquel (2009)",219613391,219.613391
123,"Mrs. Doubtfire (1993)",219200000,219.2
124,"Beauty and the Beast (1991)",218967620,218.96762
125,"Ted (2012)",218628680,218.62868
126,"King Kong (2005)",218051260,218.05126
127,"Ghost (1990)",217631306,217.631306
128,"The Da Vinci Code (2006)",217536138,217.536138
129,"How to Train Your Dragon (2010)",217387997,217.387997
130,"Aladdin (1992)",217350219,217.350219
131,"Alvin and the Chipmunks (2007)",217326336,217.326336
132,"Madagascar 3: Europe's Most Wanted (2012)",216366733,216.366733
133,"Saving Private Ryan (1998)",216119491,216.119491
134,"Mission: Impossible II (2000)",215397307,215.397307
135,"Kung Fu Panda (2008)",215395021,215.395021
136,"X2 (2003)",214948780,214.94878
137,"The Lorax (2012)",213949505,213.949505
138,"Austin Powers in Goldmember (2002)",213079163,213.079163
139,"Back to the Future (1985)",210609762,210.609762
140,"300 (2006)",210592590,210.59259
141,"Fast Five (2011)",209805005,209.805005
142,"Mission: Impossible - Ghost Protocol (2011)",209364921,209.364921
143,"Wedding Crashers (2005)",209218368,209.218368
144,"Sherlock Holmes (2009)",209019489,209.019489
145,"Dawn of the Planet of the Apes (2014)",208543795,208.543795
146,"Charlie and the Chocolate Factory (2005)",206456431,206.456431
147,"Ratatouille (2007)",206435493,206.435493
148,"Thor: The Dark World (2013)",206360018,206.360018
149,"Austin Powers: The Spy Who Shagged Me (1999)",205399422,205.399422
150,"Batman Begins (2005)",205343774,205.343774
151,"Terminator 2: Judgment Day (1991)",204843350,204.84335
152,"The Exorcist (1973)",204565000,204.565
153,"The Amazing Spider-Man 2 (2014)",202853933,202.853933
154,"World War Z (2013)",202351611,202.351611
155,"The Mummy Returns (2001)",202007640,202.00764
156,"Armageddon (1998)",201573391,201.573391
157,"Cinderella (2015)",201108150,201.10815
158,"Tangled (2010)",200807262,200.807262
159,"Godzilla (2014)",200661309,200.661309
160,"Superman Returns (2006)",200069408,200.069408
161,"Gone with the Wind (1939)",198655278,198.655278
162,"Pearl Harbor (2001)",198539855,198.539855
163,"Monsters vs. Aliens (2009)",198332128,198.332128
164,"Happy Feet (2006)",197992827,197.992827
165,"Indiana Jones and the Last Crusade (1989)",197171806,197.171806
166,"Ice Age: Dawn of the Dinosaurs (2009)",196573705,196.573705
